season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2016,SF,K,K,4.0,ACT,Phil Dawson,Phil,Dawson,1975-01-23,71.0,200.0,Texas,00-0004091,1440.0,e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d,4269.0,994.0,422.0,,5714.0,229.0,18.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dypn7kf7fsaz30ey0ayc",,17,REG,A01,Phil,DAW705989,23860.0,32004441-5770-5989-ac23-bf6cdafcb988,1998.0,1998.0,,
2016,IND,K,K,4.0,ACT,Adam Vinatieri,Adam,Vinatieri,1972-12-28,72.0,206.0,South Dakota State,00-0016919,1097.0,9ecf8040-10f9-4a5c-92da-1b4d77bd6760,3727.0,395.0,226.0,,3258.0,120.0,20.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/imfj1hl4kob4jof8hcwa",,17,REG,A01,Adam,VIN196019,21213.0,32005649-4e19-6019-e626-0b58f9aa81e1,1996.0,1996.0,,
2016,ARI,LS,LS,82.0,ACT,Mike Leach,Mike,Leach,,74.0,235.0,William & Mary,00-0019435,,,,,,,,,16.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ilrirkvxmxbeedplpjhm",,2,REG,A01,Mike,LEA091822,26080.0,32004c45-4109-1822-bb13-3388defe5a21,2000.0,2000.0,,
2016,ATL,K,K,6.0,CUT,Shayne Graham,Shayne,Graham,,72.0,210.0,,00-0019536,,,,,,,,,,,,21,SB,,Shayne,GRA217171,,32004752-4121-7171-4b31-b84625809e98,,,,
2016,NE,QB,QB,12.0,ACT,Tom Brady,Tom,Brady,1977-08-03,76.0,225.0,Michigan,00-0019596,2330.0,41c44740-d0f6-44ab-8347-3b5d515e5ecf,5228.0,1350.0,698.0,BradTo00,4314.0,167.0,16.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/apkxya5ptb0zalrskshq",QB,21,SB,,Tom,BRA371156,25511.0,32004252-4137-1156-7ed0-8b9e44948f13,2000.0,2000.0,NE,
2016,OAK,K,K,11.0,ACT,Sebastian Janikowski,Sebastian,Janikowski,1978-03-02,73.0,265.0,Florida State,00-0019646,2148.0,480277d1-47c9-44df-969e-038a84cd0fea,5046.0,1299.0,595.0,janikseb01,3253.0,118.0,16.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/c5zvm3ux5uvwxdfqwd0w",,18,WC,,Sebastian,JAN400354,25326.0,32004a41-4e40-0354-af49-976718aaf8be,2000.0,2000.0,OAK,
2016,HOU,P,P,9.0,ACT,Shane Lechler,Shane,Lechler,1976-08-07,74.0,230.0,Texas A&M,00-0019714,2273.0,c4b15bec-4adf-444a-bda1-5a07ade70abf,5171.0,7123.0,673.0,LechSh20,7606.0,307.0,16.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/we3oe5jqnrb4ag3d4pqu",,19,DIV,,Shane,LEC090322,25451.0,32004c45-4309-0322-4493-968eaa2c1214,2000.0,2000.0,OAK,
2016,PIT,QB,QB,2.0,ACT,Mike Vick,Michael,Vick,,72.0,215.0,Virginia Tech,00-0020245,2549.0,b797d6fa-1520-4b3d-a212-157afd4a3bd0,5448.0,2193.0,773.0,,9447.0,461.0,15.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hrg4riwhpjbijfovsjrk",,2,REG,A01,Michael,VIC311467,26219.0,32005649-4331-1467-814d-d41e76f507d4,2001.0,2001.0,ATL,1.0
2016,BAL,WR,WR,89.0,ACT,Steve Smith,Steve,Smith,1979-05-12,69.0,195.0,Utah,00-0020337,2622.0,a69419b7-3cdc-48b9-b3a3-c50f2bf4e6f1,5521.0,2263.0,837.0,SmitSt01,4358.0,169.0,,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/k23e0b8cto93he9rt0zc",WR,17,REG,,Steve,SMI733120,26294.0,3200534d-4973-3120-1f76-7eb0862a9e02,,,,
2016,NO,QB,QB,9.0,ACT,Drew Brees,Drew,Brees,1979-01-15,72.0,209.0,Purdue,00-0020531,2580.0,bb5957e6-ce7d-47ab-8036-22191ffc1c44,5479.0,2178.0,802.0,BreeDr00,7242.0,289.0,15.0,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/i20xlpzdmn7xubotijjd",QB,17,REG,,Drew,BRE229498,26250.0,32004252-4522-9498-de45-55dc89e02748,2001.0,2001.0,SD,
