season,team,position,depth_chart_position,jersey_number,status,full_name,first_name,last_name,birth_date,height,weight,college,gsis_id,espn_id,sportradar_id,yahoo_id,rotowire_id,pff_id,pfr_id,fantasy_data_id,sleeper_id,years_exp,headshot_url,ngs_position,week,game_type,status_description_abbr,football_name,esb_id,gsis_it_id,smart_id,entry_year,rookie_year,draft_club,draft_number
2015,SF,K,,9,ACT,Phil Dawson,Philip,Dawson,1975-01-23,71.0,200.0,Texas,00-0004091,1440.0,e5247e5f-c4af-4a9b-8c7c-da75ef7fbf8d,4269.0,994.0,422.0,,5714.0,229.0,17,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dypn7kf7fsaz30ey0ayc",,17,REG,A01,Phil,DAW705989,23860.0,32004441-5770-5989-ac23-bf6cdafcb988,1998,1998,,
2015,IND,QB,,8,ACT,Matt Hasselbeck,Matthew,Hasselbeck,1975-09-25,76.0,235.0,Boston College,00-0007091,1575.0,7d8eba61-208d-4d91-86cd-704ad05cb7f4,4416.0,949.0,408.0,HassMa00,1034.0,36.0,17,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t1nf9avoy2kauqwrvzza",,17,REG,I01,Matt,HAS536799,23636.0,32004841-5353-6799-a37b-f4bab15e4312,1998,1998,GB,187.0
2015,DEN,QB,,18,ACT,Peyton Manning,Peyton,Manning,1976-03-24,77.0,230.0,Tennessee,00-0010346,1428.0,aae6d92e-5f28-43ee-b0dc-522e80e99f76,4256.0,902.0,327.0,MannPe00,7328.0,294.0,17,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xpcd6auodk3w0vda6jal",,21,SB,A01,Peyton,MAN515097,23446.0,32004d41-4e51-5097-63c8-dfd9cac091f8,1998,1998,IND,1.0
2015,IND,K,,4,ACT,Adam Vinatieri,Adam,Vinatieri,1972-12-28,72.0,206.0,South Dakota State,00-0016919,1097.0,9ecf8040-10f9-4a5c-92da-1b4d77bd6760,3727.0,395.0,226.0,,3258.0,120.0,19,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/imfj1hl4kob4jof8hcwa",,17,REG,A01,Adam,VIN196019,21213.0,32005649-4e19-6019-e626-0b58f9aa81e1,1996,1996,,
2015,OAK,FS,,24,ACT,Charles Woodson,Charles,Woodson,1976-10-07,73.0,210.0,Michigan,00-0018227,,,,,,,,,17,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gohbupnj3mhletq96zzu",,17,REG,A01,Charles,WOO661523,23449.0,3200574f-4f66-1523-6494-7f8d7d48fff1,1998,1998,OAK,4.0
2015,ARZ,LS,,82,ACT,Mike Leach,Mike,Leach,1976-10-18,74.0,235.0,William & Mary,00-0019435,,,,,,,,,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ilrirkvxmxbeedplpjhm",,20,CON,A01,Mike,LEA091822,26080.0,32004c45-4109-1822-bb13-3388defe5a21,2000,2000,,
2015,ATL,K,,6,ACT,Shayne Graham,Shayne,Graham,1977-12-09,72.0,210.0,,00-0019536,,,,,,,,,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nntaad0gtphxh3qe4l4o",,17,REG,A01,Shayne,GRA217171,,32004752-4121-7171-4b31-b84625809e98,2000,2000,,
2015,NE,QB,,12,ACT,Tom Brady,Tom,Brady,1977-08-03,76.0,225.0,Michigan,00-0019596,2330.0,41c44740-d0f6-44ab-8347-3b5d515e5ecf,5228.0,1350.0,698.0,BradTo00,4314.0,167.0,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q7dpdlxyu5rs05rgh1le",,20,CON,A01,Tom,BRA371156,25511.0,32004252-4137-1156-7ed0-8b9e44948f13,2000,2000,NE,199.0
2015,OAK,K,,11,ACT,Sebastian Janikowski,Sebastian,Janikowski,1978-03-02,73.0,265.0,Florida State,00-0019646,2148.0,480277d1-47c9-44df-969e-038a84cd0fea,5046.0,1299.0,595.0,janikseb01,3253.0,118.0,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/c5zvm3ux5uvwxdfqwd0w",,17,REG,A01,Sebastian,JAN400354,25326.0,32004a41-4e40-0354-af49-976718aaf8be,2000,2000,OAK,17.0
2015,HST,P,,9,ACT,Shane Lechler,Edward,Lechler,1976-08-07,74.0,237.0,Texas A&M,00-0019714,2273.0,c4b15bec-4adf-444a-bda1-5a07ade70abf,5171.0,7123.0,673.0,LechSh20,7606.0,307.0,15,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/we3oe5jqnrb4ag3d4pqu",,18,WC,A01,Shane,LEC090322,25451.0,32004c45-4309-0322-4493-968eaa2c1214,2000,2000,OAK,142.0
